Date,ADA-USD,BNB-USD,CSSPX.MI,CSSX5E.MI,EMRG.PA,ETH-USD,HEAL.MI,IBCN.DE,IBTM.MI,IEMB.MI,INRG.MI,IPRP.AS,IQQC.DE,IS3S.DE,ISPA.DE,PHPM.MI,SOL-USD,SXRG.DE,VOLT.MI,VVSM.DE,YODA.MI
2021-03-16,3463.95,2757.34,12823.1,13917.12,8549.8,44553.89,3451.38,2095.56,1756.4,9238.47,5196.12,9137.9,0.0,0.0,13416.15,3866.7,320.27,9573.75,1130.25,3643.2,
2021-03-17,3849.97,2888.75,12748.62,13917.12,8443.68,45051.32,3406.69,2093.16,1747.2,9179.89,4871.04,9055.1,0.0,0.0,13395.0,3855.0,334.99,9480.6,1123.05,3592.8,
2021-03-18,3436.52,2782.54,12770.66,13986.88,8472.24,43750.07,3411.2,2093.76,1735.0,9186.96,4824.6,8981.5,0.0,0.0,13547.75,3943.2,332.95,9587.55,1128.0,3585.6,
2021-03-19,3631.27,2822.76,12665.78,13862.62,8473.92,44844.86,3394.39,2095.08,1742.3,9219.28,4834.92,9062.0,0.0,0.0,13380.9,3927.3,334.16,9462.2,1111.35,3550.0,
2021-03-22,3104.18,2743.64,12704.16,13860.44,8454.18,41852.34,3441.54,2095.8,1740.6,9207.16,4914.04,8990.7,0.0,0.0,13310.4,3884.1,352.01,9315.0,1114.35,3654.4,
2021-03-23,3123.72,2729.92,12770.66,13856.08,8403.22,41364.73,3404.23,2097.48,1757.3,9261.7,4920.06,9085.0,0.0,0.0,13261.05,3891.9,333.75,9228.75,1094.55,3574.0,
2021-03-24,3017.54,2688.5,12787.38,13851.72,8261.82,39572.19,3343.14,2098.14,1762.5,9286.95,4800.52,9093.05,0.0,0.0,13263.4,3912.9,323.5,9188.5,1083.75,3565.6,
2021-03-25,3099.23,2533.26,12712.52,13843.0,8256.64,39711.52,3322.64,2098.86,1775.5,9301.09,4654.32,8961.95,0.0,0.0,13326.85,3907.2,309.14,9121.8,1078.2,3487.2,
2021-03-26,3426.02,2759.85,12847.8,13982.52,8315.72,42518.16,3336.17,2097.72,1766.9,9295.03,4771.28,9030.95,0.0,0.0,13439.65,3942.9,351.86,9325.35,1106.1,3607.2,
2021-03-29,3395.39,2978.83,12927.22,14061.0,8380.54,45457.27,3298.86,2096.1,1764.5,9281.9,4708.5,8974.6,0.0,0.0,13498.4,3843.9,449.1,9193.1,1105.95,3608.0,
2021-03-30,3439.67,3384.4,12992.2,14215.78,8470.14,46301.95,3346.01,2093.22,1764.4,9293.01,4894.26,9056.25,0.0,0.0,13585.35,3846.6,459.98,9296.6,1118.85,3610.4,
2021-03-31,3381.31,3281.18,13051.86,14178.72,8491.14,48094.64,3394.8,2094.3,1765.7,9322.3,5052.5,9012.55,0.0,0.0,13514.85,3882.0,465.31,9363.3,1124.4,3683.2,
2021-04-01,3355.3,3625.47,13096.7,14285.54,8592.64,49356.55,3457.94,2095.8,1766.2,9323.31,5120.44,9129.85,0.0,0.0,13503.1,3926.4,454.24,9451.85,1136.1,3794.4,
2021-04-02,3355.3,3625.47,13096.7,14285.54,8592.64,49356.55,3457.94,2095.8,1766.2,9323.31,5120.44,9129.85,0.0,0.0,13503.1,3926.4,454.24,9451.85,1136.1,3794.4,
2021-04-05,3414.69,3964.5,13096.7,14285.54,8592.64,52443.28,3457.94,2095.8,1766.2,9323.31,5120.44,9129.85,0.0,0.0,13503.1,3926.4,545.24,9451.85,1136.1,3794.4,
2021-04-06,3513.7,4330.35,13258.58,14385.82,8588.44,52458.88,3464.5,2094.0,1757.2,9305.13,4994.02,9200.0,0.0,0.0,13533.65,3961.8,589.28,9528.9,1140.3,3874.4,
2021-04-07,3289.36,4020.11,13187.52,14342.22,8436.26,48813.47,3392.75,2094.36,1752.9,9283.92,4809.12,9296.6,0.0,0.0,13512.5,3911.4,625.23,9364.45,1131.0,3810.4,
2021-04-08,3401.29,4469.76,13228.94,14401.08,8496.32,51540.85,3423.91,2095.32,1752.2,9280.89,4871.9,9362.15,0.0,0.0,13486.65,3927.0,636.1,9348.35,1131.45,3876.8,
2021-04-09,3401.29,4469.76,13284.04,14405.44,8405.88,51540.85,3400.54,2092.02,1753.7,9280.89,4846.1,9318.45,0.0,0.0,13512.5,3915.9,636.1,9392.05,1126.5,3867.2,
2021-04-12,3671.29,6402.21,13313.68,14348.76,8350.3,52798.37,3391.52,2092.2,1746.6,9283.92,4716.24,9293.15,0.0,0.0,13486.65,3888.3,670.94,9389.75,1110.0,3834.4,
2021-04-13,3925.13,5857.4,13333.82,14361.84,8399.16,56555.75,3429.24,2091.72,1746.7,9273.82,4779.02,9361.0,0.0,0.0,13479.6,3917.4,643.47,9342.6,1110.6,3816.8,
2021-04-14,4035.66,5841.84,13320.52,14403.26,8434.3,59739.38,3477.21,2090.1,1742.0,9272.81,4832.34,9421.95,0.0,0.0,13514.85,3885.3,619.29,9486.35,1127.85,3830.4,
2021-04-15,4113.14,5774.78,13389.3,14453.4,8452.64,61874.47,3525.18,2091.9,1755.7,9323.31,4753.22,9462.2,0.0,0.0,13484.3,3970.5,651.49,9432.3,1132.95,3832.8,
2021-04-16,4113.14,5774.78,13421.22,14608.18,8478.96,61874.47,3486.64,2090.94,1749.0,9312.2,4842.66,9550.75,0.0,0.0,13557.15,3993.3,651.49,9479.45,1129.5,3854.4,
2021-04-19,3305.43,5342.46,13326.6,14564.58,8415.4,52881.02,3452.61,2089.02,1742.8,9275.84,4747.2,9589.85,0.0,0.0,13528.95,3996.0,737.3,9340.3,1135.2,3751.6,
2021-04-20,3496.73,6215.77,13182.2,14285.54,8342.46,56946.11,3422.27,2089.92,1745.1,9247.56,4687.86,9612.85,0.0,0.0,13380.9,3953.4,740.29,9142.5,1118.4,3687.2,
